Ethernet Type,Packet Length,Service,Source IP,Destination IP,Source Port,Destination Port,Protocol,TCP Flags,Checksum,TCP Window Size,ICMP Type,class
IPv4,54,TCP,192.168.1.5,192.168.1.4,8080,39462,TCP,0x0014,0xd050,0,0,anomaly
IPv4,54,TCP,192.168.1.5,192.168.1.4,21,55068,TCP,0x0014,0x2abe,0,0,anomaly
IPv4,54,TCP,192.168.1.5,192.168.1.4,5900,45824,TCP,0x0014,0x4b40,0,0,anomaly
IPv4,54,TCP,192.168.1.5,192.168.1.4,995,51280,TCP,0x0014,0xe4aa,0,0,anomaly
IPv4,54,TCP,192.168.1.5,192.168.1.4,113,52028,TCP,0x0014,0xab76,0,0,anomaly
IPv4,54,TCP,192.168.1.5,192.168.1.4,111,34126,TCP,0x0014,0x091b,0,0,anomaly
IPv4,66,TCP,192.168.1.4,192.168.1.5,45600,22,TCP,0x0010,0xc428,32128,0,anomaly
IPv4,74,TCP,192.168.1.4,192.168.1.5,44216,25,TCP,0x0002,0x3784,32120,0,anomaly
IPv4,74,TCP,192.168.1.4,192.168.1.5,57790,139,TCP,0x0002,0x62d2,32120,0,anomaly
IPv4,66,TCP,192.168.1.4,192.168.1.5,45600,22,TCP,0x0014,0xc422,32128,0,anomaly
IPv4,74,TCP,192.168.1.4,192.168.1.5,58896,1723,TCP,0x0002,0xd48b,32120,0,anomaly
IPv4,74,TCP,192.168.1.4,192.168.1.5,39528,110,TCP,0x0002,0x736f,32120,0,anomaly
IPv4,74,TCP,192.168.1.4,192.168.1.5,56242,3296,TCP,0x0002,0x0107,32120,0,anomaly
IPv4,74,TCP,192.168.1.4,192.168.1.5,36416,4215,TCP,0x0002,0x31ec,32120,0,anomaly
IPv4,54,TCP,192.168.1.5,192.168.1.4,25,44216,TCP,0x0014,0x9c3c,0,0,anomaly
IPv4,54,TCP,192.168.1.5,192.168.1.4,139,57790,TCP,0x0014,0xc78a,0,0,anomaly
IPv4,54,TCP,192.168.1.5,192.168.1.4,1723,58896,TCP,0x0014,0x3945,0,0,anomaly
