Ethernet Type,Packet Length,Service,Source IP,Destination IP,Source Port,Destination Port,Protocol,TCP Flags,Checksum,TCP Window Size,ICMP Type
IPv6,104,UDP,2001:bb6:48d0:da00:8018:eff9:716a:853e,2a00:1450:400b:c03::5b,52089,443,QUIC,0,0x4040,0,0
IPv6,1294,UDP,2a00:1450:400b:c03::5b,2001:bb6:48d0:da00:8018:eff9:716a:853e,443,52089,QUIC,0,0x9040,0,0
IPv6,1294,UDP,2a00:1450:400b:c03::5b,2001:bb6:48d0:da00:8018:eff9:716a:853e,443,52089,QUIC,0,0x6ed5,0,0
IPv6,104,UDP,2001:bb6:48d0:da00:8018:eff9:716a:853e,2a00:1450:400b:c03::5b,52089,443,QUIC,0,0x4040,0,0
IPv6,802,UDP,2a00:1450:400b:c03::5b,2001:bb6:48d0:da00:8018:eff9:716a:853e,443,52089,QUIC,0,0xdfa4,0,0
IPv6,105,UDP,2001:bb6:48d0:da00:8018:eff9:716a:853e,2a00:1450:400b:c03::5b,52089,443,QUIC,0,0x4041,0,0
IPv6,193,UDP,2001:bb6:48d0:da00:8018:eff9:716a:853e,2a00:1450:400b:c03::5b,52089,443,QUIC,0,0x4099,0,0
IPv6,132,UDP,2001:bb6:48d0:da00:8018:eff9:716a:853e,2a00:1450:400b:c03::5b,52089,443,QUIC,0,0x405c,0,0
IPv6,680,UDP,2a00:1450:400b:c03::5b,2001:bb6:48d0:da00:8018:eff9:716a:853e,443,52089,QUIC,0,0xf6df,0,0
IPv6,186,UDP,2a00:1450:400b:c03::5b,2001:bb6:48d0:da00:8018:eff9:716a:853e,443,52089,QUIC,0,0xcbf6,0,0
IPv6,88,UDP,2a00:1450:400b:c03::5b,2001:bb6:48d0:da00:8018:eff9:716a:853e,443,52089,QUIC,0,0x1493,0,0
IPv6,237,UDP,2001:bb6:48d0:da00:8018:eff9:716a:853e,2a00:1450:400b:c03::5b,52089,443,QUIC,0,0x40c5,0,0
IPv6,93,UDP,2001:bb6:48d0:da00:8018:eff9:716a:853e,2a00:1450:400b:c03::5b,52089,443,QUIC,0,0x4035,0,0
IPv6,89,UDP,2a00:1450:400b:c03::5b,2001:bb6:48d0:da00:8018:eff9:716a:853e,443,52089,QUIC,0,0xe5f1,0,0
IPv4,101,UDP,192.168.1.5,192.168.1.254,54696,53,DNS,0,0x84a8,0,0
IPv4,101,UDP,192.168.1.5,192.168.1.254,37849,53,DNS,0,0x84a8,0,0
IPv4,176,UDP,192.168.1.254,192.168.1.5,53,54696,DNS,0,0xddac,0,0
IPv4,245,UDP,192.168.1.254,192.168.1.5,53,37849,DNS,0,0x7b38,0,0
IPv4,116,UDP,192.168.1.5,192.168.1.254,42186,53,DNS,0,0x84b7,0,0
IPv4,116,UDP,192.168.1.254,192.168.1.5,53,42186,DNS,0,0x1972,0,0
IPv4,82,UDP,192.168.1.5,192.168.1.254,38436,53,DNS,0,0x8495,0,0
IPv4,82,UDP,192.168.1.5,192.168.1.254,42060,53,DNS,0,0x8495,0,0
IPv4,82,UDP,192.168.1.5,192.168.1.254,56355,53,DNS,0,0x8495,0,0
