Ethernet Type,Packet Length,Service,Source IP,Destination IP,Source Port,Destination Port,Protocol,TCP Flags,Checksum,TCP Window Size,ICMP Type,class
IPv4,60,TCP,192.168.1.4,192.168.1.5,2131,175,TCP,0x0002,0x948d,512,0,anomaly
IPv4,54,TCP,192.168.1.5,192.168.1.4,175,2131,TCP,0x0014,0xe727,0,0,anomaly
IPv4,60,TCP,192.168.1.4,192.168.1.5,2132,176,TCP,0x0002,0xd1a0,512,0,anomaly
IPv4,54,TCP,192.168.1.5,192.168.1.4,176,2132,TCP,0x0014,0xa584,0,0,anomaly
IPv4,60,TCP,192.168.1.4,192.168.1.5,2133,177,TCP,0x0002,0x62c1,512,0,anomaly
IPv4,54,TCP,192.168.1.5,192.168.1.4,177,2133,TCP,0x0014,0x9b63,0,0,anomaly
IPv4,60,TCP,192.168.1.4,192.168.1.5,2134,178,TCP,0x0002,0x44a0,512,0,anomaly
IPv4,54,TCP,192.168.1.5,192.168.1.4,178,2134,TCP,0x0014,0x352c,0,0,anomaly
IPv4,60,TCP,192.168.1.4,192.168.1.5,2135,179,TCP,0x0002,0x5c43,512,0,anomaly
IPv4,54,TCP,192.168.1.5,192.168.1.4,179,2135,TCP,0x0014,0x3304,0,0,anomaly
IPv4,60,TCP,192.168.1.4,192.168.1.5,2136,180,TCP,0x0002,0x74ec,512,0,anomaly
IPv4,54,TCP,192.168.1.5,192.168.1.4,180,2136,TCP,0x0014,0x2f67,0,0,anomaly
IPv4,60,TCP,192.168.1.4,192.168.1.5,2137,181,TCP,0x0002,0xaee4,512,0,anomaly
IPv4,54,TCP,192.168.1.5,192.168.1.4,181,2137,TCP,0x0014,0xe934,0,0,anomaly
IPv4,60,TCP,192.168.1.4,192.168.1.5,2138,182,TCP,0x0002,0x20dc,512,0,anomaly
IPv4,54,TCP,192.168.1.5,192.168.1.4,182,2138,TCP,0x0014,0x7f26,0,0,anomaly
IPv4,60,TCP,192.168.1.4,192.168.1.5,2139,183,TCP,0x0002,0x173d,512,0,anomaly
IPv4,54,TCP,192.168.1.5,192.168.1.4,183,2139,TCP,0x0014,0xce1f,0,0,anomaly
IPv4,60,TCP,192.168.1.4,192.168.1.5,2140,184,TCP,0x0002,0x047d,512,0,anomaly
IPv4,54,TCP,192.168.1.5,192.168.1.4,184,2140,TCP,0x0014,0x8dc2,0,0,anomaly
IPv6,94,TCP,2001:bb6:48d0:da00:8018:eff9:716a:853e,2620:1ec:bdf::52,59704,443,TCP,0x0002,0xe9ae,64260,0,normal
IPv6,94,TCP,2620:1ec:bdf::52,2001:bb6:48d0:da00:8018:eff9:716a:853e,443,59704,TCP,0x0012,0xcd9e,42718,0,normal
IPv6,86,TCP,2001:bb6:48d0:da00:8018:eff9:716a:853e,2620:1ec:bdf::52,59704,443,TCP,0x0010,0xe9a6,64384,0,normal
IPv6,1464,TCP,2001:bb6:48d0:da00:8018:eff9:716a:853e,2620:1ec:bdf::52,59704,443,TLS,0x0010,0xef08,64384,0,normal
IPv6,772,TCP,2001:bb6:48d0:da00:8018:eff9:716a:853e,2620:1ec:bdf::52,59704,443,TLS,0x0018,0xec54,64384,0,normal
IPv6,86,TCP,2620:1ec:bdf::52,2001:bb6:48d0:da00:8018:eff9:716a:853e,443,59704,TCP,0x0010,0x9d3e,42496,0,normal
IPv6,86,TCP,2620:1ec:bdf::52,2001:bb6:48d0:da00:8018:eff9:716a:853e,443,59704,TCP,0x0010,0x9a8f,42496,0,normal
IPv6,185,TCP,2620:1ec:bdf::52,2001:bb6:48d0:da00:8018:eff9:716a:853e,443,59704,TLS,0x0018,0x0d3b,42496,0,normal
IPv6,86,TCP,2001:bb6:48d0:da00:8018:eff9:716a:853e,2620:1ec:bdf::52,59704,443,TCP,0x0010,0xe9a6,64384,0,normal
IPv6,964,TCP,2001:bb6:48d0:da00:8018:eff9:716a:853e,2620:1ec:bdf::52,59704,443,TLS,0x0018,0xed14,64384,0,normal
IPv6,367,TCP,2620:1ec:bdf::52,2001:bb6:48d0:da00:8018:eff9:716a:853e,443,59704,TLS,0x0018,0xcab5,42496,0,normal
IPv6,160,TCP,2001:bb6:48d0:da00:8018:eff9:716a:853e,2620:1ec:bdf::52,59704,443,TLS,0x0018,0xe9f0,64128,0,normal
IPv6,178,TCP,2001:bb6:48d0:da00:8018:eff9:716a:853e,2620:1ec:bdf::52,59704,443,TLS,0x0018,0xea02,64128,0,normal
IPv6,351,TCP,2001:bb6:48d0:da00:8018:eff9:716a:853e,2620:1ec:bdf::52,59704,443,TLS,0x0018,0xeaaf,64128,0,normal
IPv6,373,TCP,2620:1ec:bdf::52,2001:bb6:48d0:da00:8018:eff9:716a:853e,443,59704,TLS,0x0018,0xcad8,42496,0,normal
IPv6,148,TCP,2620:1ec:bdf::52,2001:bb6:48d0:da00:8018:eff9:716a:853e,443,59704,TLS,0x0018,0x8356,42496,0,normal
IPv6,117,TCP,2620:1ec:bdf::52,2001:bb6:48d0:da00:8018:eff9:716a:853e,443,59704,TLS,0x0018,0x5291,42496,0,normal
IPv6,86,TCP,2001:bb6:48d0:da00:8018:eff9:716a:853e,2620:1ec:bdf::52,59704,443,TCP,0x0010,0xe9a6,64128,0,normal
IPv6,117,TCP,2001:bb6:48d0:da00:8018:eff9:716a:853e,2620:1ec:bdf::52,59704,443,TLS,0x0018,0xe9c5,64128,0,normal
IPv6,2842,TCP,2620:1ec:bdf::52,2001:bb6:48d0:da00:8018:eff9:716a:853e,443,59704,TLS,0x0018,0xf46a,42496,0,normal
IPv6,86,TCP,2001:bb6:48d0:da00:8018:eff9:716a:853e,2620:1ec:bdf::52,59704,443,TCP,0x0010,0xe9a6,69632,0,normal
IPv6,2842,TCP,2620:1ec:bdf::52,2001:bb6:48d0:da00:8018:eff9:716a:853e,443,59704,TCP,0x0018,0xf46a,42496,0,normal
IPv6,86,TCP,2001:bb6:48d0:da00:8018:eff9:716a:853e,2620:1ec:bdf::52,59704,443,TCP,0x0010,0xe9a6,75264,0,normal
IPv6,2842,TCP,2620:1ec:bdf::52,2001:bb6:48d0:da00:8018:eff9:716a:853e,443,59704,TCP,0x0018,0xf46a,42496,0,normal
IPv6,1464,TCP,2620:1ec:bdf::52,2001:bb6:48d0:da00:8018:eff9:716a:853e,443,59704,TCP,0x0010,0xd80b,42496,0,normal
IPv6,86,TCP,2001:bb6:48d0:da00:8018:eff9:716a:853e,2620:1ec:bdf::52,59704,443,TCP,0x0010,0xe9a6,80768,0,normal
IPv6,1464,TCP,2620:1ec:bdf::52,2001:bb6:48d0:da00:8018:eff9:716a:853e,443,59704,TCP,0x0018,0x1be7,42496,0,normal
IPv6,2842,TCP,2620:1ec:bdf::52,2001:bb6:48d0:da00:8018:eff9:716a:853e,443,59704,TCP,0x0010,0xf46a,42496,0,normal
IPv6,1464,TCP,2620:1ec:bdf::52,2001:bb6:48d0:da00:8018:eff9:716a:853e,443,59704,TLS,0x0018,0x6982,42496,0,normal
IPv6,2842,TCP,2620:1ec:bdf::52,2001:bb6:48d0:da00:8018:eff9:716a:853e,443,59704,TCP,0x0010,0xf46a,42496,0,normal
IPv6,1464,TCP,2620:1ec:bdf::52,2001:bb6:48d0:da00:8018:eff9:716a:853e,443,59704,TLS,0x0018,0x429f,42496,0,normal
IPv6,2842,TCP,2620:1ec:bdf::52,2001:bb6:48d0:da00:8018:eff9:716a:853e,443,59704,TCP,0x0010,0xf46a,42496,0,normal
IPv6,98,TCP,2001:bb6:48d0:da00:8018:eff9:716a:853e,2620:1ec:bdf::52,59704,443,TCP,0x0010,0xe9b2,86272,0,normal
IPv6,86,TCP,2001:bb6:48d0:da00:8018:eff9:716a:853e,2620:1ec:bdf::52,59704,443,TCP,0x0010,0xe9a6,84096,0,normal
IPv6,98,TCP,2001:bb6:48d0:da00:8018:eff9:716a:853e,2620:1ec:bdf::52,59704,443,TCP,0x0010,0xe9b2,84096,0,normal
IPv6,86,TCP,2001:bb6:48d0:da00:8018:eff9:716a:853e,2620:1ec:bdf::52,59704,443,TCP,0x0010,0xe9a6,80256,0,normal
IPv6,98,TCP,2001:bb6:48d0:da00:8018:eff9:716a:853e,2620:1ec:bdf::52,59704,443,TCP,0x0010,0xe9b2,80256,0,normal
IPv6,86,TCP,2001:bb6:48d0:da00:8018:eff9:716a:853e,2620:1ec:bdf::52,59704,443,TCP,0x0010,0xe9a6,76288,0,normal
IPv6,1464,TCP,2620:1ec:bdf::52,2001:bb6:48d0:da00:8018:eff9:716a:853e,443,59704,TLS,0x0010,0x0b26,42496,0,normal
IPv6,1464,TCP,2620:1ec:bdf::52,2001:bb6:48d0:da00:8018:eff9:716a:853e,443,59704,TLS,0x0018,0xfc86,42496,0,normal
IPv6,2842,TCP,2620:1ec:bdf::52,2001:bb6:48d0:da00:8018:eff9:716a:853e,443,59704,TCP,0x0010,0xf46a,42496,0,normal
IPv6,5598,TCP,2620:1ec:bdf::52,2001:bb6:48d0:da00:8018:eff9:716a:853e,443,59704,TLS,0x0018,0xff2e,42496,0,normal
IPv6,98,TCP,2001:bb6:48d0:da00:8018:eff9:716a:853e,2620:1ec:bdf::52,59704,443,TCP,0x0010,0xe9b2,88960,0,normal
IPv6,86,TCP,2001:bb6:48d0:da00:8018:eff9:716a:853e,2620:1ec:bdf::52,59704,443,TCP,0x0010,0xe9a6,105472,0,normal
IPv6,2842,TCP,2620:1ec:bdf::52,2001:bb6:48d0:da00:8018:eff9:716a:853e,443,59704,TLS,0x0010,0xf46a,42496,0,normal
IPv6,1464,TCP,2620:1ec:bdf::52,2001:bb6:48d0:da00:8018:eff9:716a:853e,443,59704,TLS,0x0010,0x6a22,42496,0,normal
IPv6,86,TCP,2001:bb6:48d0:da00:8018:eff9:716a:853e,2620:1ec:bdf::52,59704,443,TCP,0x0010,0xe9a6,110976,0,normal
IPv6,1464,TCP,2620:1ec:bdf::52,2001:bb6:48d0:da00:8018:eff9:716a:853e,443,59704,TLS,0x0018,0xf638,42496,0,normal
IPv6,86,TCP,2001:bb6:48d0:da00:8018:eff9:716a:853e,2620:1ec:bdf::52,59704,443,TCP,0x0010,0xe9a6,116608,0,normal
IPv6,2842,TCP,2620:1ec:bdf::52,2001:bb6:48d0:da00:8018:eff9:716a:853e,443,59704,TLS,0x0018,0xf46a,42496,0,normal
IPv6,86,TCP,2001:bb6:48d0:da00:8018:eff9:716a:853e,2620:1ec:bdf::52,59704,443,TCP,0x0010,0xe9a6,122112,0,normal
IPv6,5598,TCP,2620:1ec:bdf::52,2001:bb6:48d0:da00:8018:eff9:716a:853e,443,59704,TLS,0x0018,0xff2e,42496,0,normal
IPv6,2422,TCP,2620:1ec:bdf::52,2001:bb6:48d0:da00:8018:eff9:716a:853e,443,59704,TLS,0x0018,0xf2c6,42496,0,normal
IPv6,86,TCP,2001:bb6:48d0:da00:8018:eff9:716a:853e,2620:1ec:bdf::52,59704,443,TCP,0x0010,0xe9a6,133120,0,normal
